,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Score,Blue Score
1,4253,4099,6436,1796,5549,604,263,642
2,2052,6352,5414,2370,868,687,362,422
3,6647,10291,346,148,6988,5948,220,182
4,9408,930,1108,3005,10979,386,430,366
5,10903,2783,3276,11463,948,4561,202,504
6,2194,5951,2996,9450,9029,1540,427,438
7,1884,1833,8046,9128,10935,341,398,552
8,4206,233,9245,5216,195,2910,319,819
9,3256,3044,7160,3966,6036,1577,347,476
10,1922,599,4590,2586,8373,1807,369,241
11,695,180,9067,10553,424,5736,503,468
12,3354,2713,2046,1902,2067,88,529,129
13,973,604,148,3005,818,4400,792,478
14,5951,4253,9450,5948,868,930,245,384
15,3276,9408,5414,1833,2996,4099,410,545
16,9128,6352,10903,10291,386,10935,605,300
17,1540,11463,687,5216,3256,6988,568,567
18,4590,2194,6036,948,1884,2783,564,460
19,5736,9067,341,3044,6647,599,630,586
20,2067,2586,1108,3966,9245,5549,318,475
21,1577,10553,2046,346,2052,2910,473,719
22,4206,1902,818,1796,10979,1922,316,553
23,88,9029,195,1807,424,4400,270,418
24,180,2370,6436,2713,233,4561,284,413
25,3354,8046,695,7160,8373,973,400,566
26,1833,687,386,2194,11463,4253,351,279
27,2783,10935,5216,599,5948,5414,360,158
28,5549,9450,3276,3256,341,4590,406,387
29,3966,2996,9067,6352,1884,2910,471,496
30,868,948,818,4099,10553,9128,429,432
31,6988,1577,4206,930,1902,9029,206,344
32,424,2046,3005,1796,2586,233,392,470
33,973,695,3044,1807,10291,2713,568,247
34,2370,88,1540,6647,1922,9245,582,602
35,4400,180,10903,9408,346,8373,421,568
36,5951,195,4561,6036,604,7160,348,496
37,3354,2052,148,8046,5736,1108,473,437
38,10553,1884,6436,5948,10979,2067,345,376
39,930,386,6988,599,3966,948,391,756
40,9450,2910,2783,1902,6352,3005,650,376
41,5549,9128,233,9067,973,9029,548,444
42,9245,4099,2713,1807,10935,687,333,325
43,424,4206,868,1540,341,10291,411,409
44,8373,6647,180,2046,604,2996,365,552
45,11463,9408,195,5951,818,2052,382,385
46,1577,1796,5216,6036,1833,3354,573,596
47,4561,148,10979,695,88,325,364,524
48,6436,2586,5736,7160,4400,3276,426,514
49,4590,10903,2067,4253,2370,8046,496,449
50,1108,346,2194,1922,5414,3044,439,456
51,2783,341,10553,233,687,930,367,393
52,3005,9128,4206,180,2713,599,538,378
53,818,1540,5549,1807,386,2046,516,355
54,2052,5948,604,2996,9029,3354,492,371
55,4099,9067,1902,88,3966,11463,307,318
56,948,5216,148,7160,6436,9408,518,673
57,9245,973,10979,1577,10903,424,418,435
58,1922,1108,9450,3276,8046,6036,422,572
59,4400,4590,6352,4561,6988,695,427,454
60,5414,1796,868,1884,5736,195,545,400
61,10935,4253,6647,2586,2194,2910,348,655
62,10291,3044,1833,8373,2067,5951,505,387
63,3256,2370,3966,9128,2783,346,359,452
64,5216,930,88,180,5549,2052,461,605
65,599,604,1540,10979,687,9408,570,328
66,6436,1807,6036,10903,2046,341,515,508
67,424,9245,7160,4590,818,2996,338,444
68,386,3276,1922,6988,195,2713,353,447
69,6647,1902,973,948,4253,5414,570,280
70,1884,9029,3005,8046,4099,10291,191,399
71,233,11463,346,695,868,2067,371,563
72,5736,2910,3354,4561,1833,9450,723,235
73,2370,8373,5948,9067,1577,2586,554,364
74,6352,2194,3044,148,10553,1796,251,543
75,4400,3256,10935,4206,1108,5951,527,536
76,2052,424,9128,3276,6988,604,590,439
77,599,5549,2996,10903,195,818,538,321
78,687,10291,1884,1902,7160,180,460,477
79,233,5414,6647,6036,9245,386,349,498
80,2910,4561,8046,930,1807,11463,730,212
81,4253,1922,5216,341,695,9029,615,575
82,5736,973,5948,8373,3966,6352,677,501
83,3005,3256,2067,9067,868,2194,527,434
84,2046,10979,2370,4400,1833,948,430,615
85,2713,5951,10553,4590,1108,1577,272,295
86,346,148,2586,4099,9450,4206,403,380
87,10935,88,3044,1540,2783,6436,385,558
88,9408,6647,1807,1796,3354,1884,540,400
89,10291,9128,4561,2996,4253,9245,645,419
90,6036,11463,180,973,599,6352,440,592
91,2910,3256,868,604,1922,8373,737,524
92,195,3276,930,2046,695,2194,568,776
93,386,4400,1902,10553,5216,1833,432,504
94,341,2713,2586,148,5414,10903,424,316
95,3966,3005,2052,10935,6436,4590,397,262
96,818,3354,424,3044,4206,2370,432,455
97,1108,948,4099,5948,1540,233,436,434
98,9029,2067,1577,2783,5736,9408,209,423
99,8046,687,5951,88,346,5549,570,581
100,6988,1796,9067,9450,7160,10979,389,179
101,6352,10291,4253,195,2046,3256,410,770
102,9245,599,148,868,3276,1902,577,530
103,386,4561,2586,973,2052,1884,391,457
104,11463,2996,10935,2370,1922,930,313,578
105,604,4590,3966,10903,5216,233,558,191
106,341,8373,1577,2194,4099,818,522,431
107,5414,8046,88,10553,4206,9408,369,562
108,424,9450,695,687,6436,6647,451,539
109,2067,7160,1796,9128,1540,4400,440,698
110,948,3005,9067,346,5951,3354,464,606
