,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
"1,796",1,B1,61.75587758,0,240.9688283,0,0,0,302.7247059,
"5,549",1,B2,10.72745529,0,46.27738511,0,0,0,57.0048404,
604,1,B3,61.51666713,0,220.7537865,0,0,0,282.2704537,
"2,370",2,B1,58,0,364,0,0,0,422,
868,2,,5.041280259,0,121.105423,0,0,0,126.1467033,
687,2,,52.95871974,0,242.894577,0,0,0,295.8532967,
148,3,,8,0,174,0,0,0,182,
"6,988",3,B2,0,0,0,0,0,0,2,"Died for most of the match and woke up near the end, weird driving"
"5,948",3,B3,0,0,0,0,0,0,2,No show
"3,005",4,B1,44.52927944,0,178.8725178,0,0,0,223.4017973,
"10,979",4,B2,0,0,0,0,0,0,2,played defense entire time
386,4,B3,21.47072056,0,121.1274822,0,0,0,142.5982027,
"11,463",5,B1,0,0,0,0,0,0,2,defense- tippy
948,5,B2,3.925564665,0,22.48719361,0,0,0,26.41275828,
"10,903",5,R1,11.4118896,0,56.51016393,0,0,0,67.92205353,
"10,903",5,R1,31.5881104,0,102.4898361,0,0,0,134.0779465,
"3,276",5,R3,0,0,0,0,0,0,2,"Shooter broke in auto, then died"
"4,561",5,B3,77.07443533,0,400.5128064,0,0,0,477.5872417,
"5,951",6,R2,9.822808843,0,5.043822202,0,0,0,14.86663104,killed itself
"9,450",6,B1,14.93537221,0,122.4225946,0,0,0,137.3579668,turret- not afraid of red territory
"9,029",6,B2,53.74509374,0,95.11726198,0,0,0,148.8623557,robbed and cleaned
"2,194",6,R1,23.73803295,0,207.33112,0,0,0,231.069153,
"2,996",6,R3,25.43915821,0,155.6250578,0,0,0,181.064216,fumbly auto
"1,540",6,B3,28.31953405,0,123.4601434,0,0,0,151.7796775,
"9,128",7,B1,0,0,314.4220568,0,0,0,314.4220568,dumper
"1,833",7,R2,25.56495557,0,193.0487564,0,0,0,218.613712,
"10,935",7,B2,0,0,0,0,0,0,2,
"8,046",7,R3,34.43504443,0,144.9512436,0,0,0,179.386288,shooter cant shoog from far
341,7,B3,91,0,136.5779432,10,0,0,237.5779432,
"1,884",7,R1,0,0,0,0,0,0,2,Its a brick
